MyKidz.id@SD "My Kidz"
NabawiTV.id@SD "Nabawi TV"
NewTVComprehensive.id@SD "New TV Comprehensive"
NewTVFinance.id@SD "New TV Finance"
NewTVVariety.id@SD "New TV Variety"
NHKWorldJapan.jp@SD "NHK World Japan"
NHKWorldPremium.jp@SD "NHK World Premium"
NickelodeonAsia.sg@SD "Nickelodeon"
NickJrAsia.sg@SD "Nick Jr"
nsert.id@SD "!nsert"
NusantaraTV.id@SD "Nusantara TV"
OKTV.id@SD "Food Travel"
ONE.sg@SD "ONE"
OneTV.in@SD "One TV"
OutdoorChannel.us@SD "Outdoor Channel"
PhoenixChineseChannel.hk@SD "Phoenix Chinese"
PhoenixInfoNewsChannel.hk@SD "Phoenix Info News"
PijarTV.id@SD "Pijar TV"
Prambors.id@SD "Prambors"
PSJTV.id@SD "PSJ TV"
QwestTV.fr@SD "Qwest TV"
RajawaliTV.id@SD "RTV"
RCTI.id@SD "RCTI"
RealMadridTVEnglish.es@SD "Real Madrid TV"
Reformed21.id@SD "Reformed 21"
ROCKAction.sg@SD "Rock Action"
ROCKEntertainment.sg@SD "Rock Entertainment"
RodjaTV.id@SD "Rodja TV"
RomedyNow.in@SD "ROMEDY NOW"
RT.ru@SD "RT"
SCTV.id@SD "SCTV"
SETTaiwan.tw@SD "Sanlih"
ShenzhenTV.cn@SD "Shenzhen TV"
SindoNewsTV.id@SD "SindoNews"
SinPoTV.id@HD "Sin Po TV"
SoccerChannel.id@SD "Soccer Channel"
Sportstars.id@SD "Sportstars"
Sportstars2.id@SD "Sportstars 2"
Sportstars3.id@SD "Sportstars 3"
Sportstars3.id@SD "Sportstars 4"
SPOTV.id@SD "SPOTV"
SPOTV2.id@SD "SPOTV 2"
StingrayClassica.ca@SD "Stingray Classica"
StudioUniversalLatinAmerica.us@Brazil "Studio Universal"
SuperyachtTV.mc@SD "Superyacht TV"
TBN.ru@SD "TBN"
TheIndonesiaChannel.id@SD "The Indonesia Channel"
Thrill.hk@SD "Thrill"
TLCSoutheastAsia.sg@SD "TLC"
Trans7.id@SD "Trans7"
TransTV.id@SD "TransTV"
TRTWorld.tr@SD "TRT World"
TV5MondeAsia.fr@SD "TV5Monde"
TV9Nusantara.id@SD "TV9"
TVBSNews.tw@SD "TVBS News"
TVMu.id@SD "tvMU"
TVMUI.id@SD "TV MUI"
tvNAsia.hk@SD "TVN"
tvNMoviesAsia.hk@SD "TVN Movies"
tvOne.id@SD "TVOne"
TVRI.id@SD "TVRI"
TVRISport.id@SD "TVRI Sport"
TVRIWorld.id@SD "TVRI World"
UChannel.id@SD "U Channel"
VisionPrime.id@SD "Vision Prime"
WarnerTVAsia.us@SD "Warner TV"
WION.in@SD "Wion TV"
XingKongChina.cn@SD "Xing kong TV"
ZeeBioskop.id@SD "Zee Bioskop"
ZhejiangInternationalChannel.cn@SD "Zhejiang Int"
ZooMoo.sg@SD "Zoo Moo"
